-50.304,-18.652,0.3066,110.04,102.04,98.527,82.121,0.43126,174.11,173.44,0.13714
-50.253,-18.688,0.30566,110.04,102.05,98.514,82.108,0.43102,174.13,173.46,0.13715
-50.203,-18.726,0.30475,110.04,102.05,98.497,82.091,0.43078,174.15,173.48,0.13715
-50.153,-18.765,0.3039,110.04,102.05,98.476,82.068,0.43053,174.16,173.49,0.13715
-50.105,-18.802,0.30313,110.04,102.05,98.451,82.04,0.43029,174.18,173.51,0.13714
-50.059,-18.838,0.30245,110.05,102.05,98.421,82.006,0.43005,174.19,173.52,0.13714
-50.015,-18.87,0.30187,110.05,102.05,98.385,81.966,0.42982,174.2,173.53,0.13713
-49.973,-18.897,0.3014,110.07,102.04,98.344,81.919,0.4296,174.2,173.54,0.13712
-49.933,-18.918,0.30102,110.08,102.03,98.297,81.865,0.42938,174.21,173.54,0.13711
-49.895,-18.93,0.30073,110.1,102.02,98.245,81.805,0.42917,174.21,173.55,0.13709
-49.859,-18.932,0.30053,110.13,102.01,98.189,81.74,0.42898,174.21,173.55,0.13708
-49.825,-18.922,0.30039,110.16,102,98.128,81.67,0.42879,174.21,173.55,0.13706
-49.791,-18.898,0.3003,110.2,101.98,98.063,81.595,0.42861,174.2,173.55,0.13704
-49.759,-18.86,0.30026,110.24,101.96,97.996,81.517,0.42844,174.2,173.55,0.13703
-49.727,-18.807,0.30024,110.28,101.94,97.927,81.437,0.42827,174.19,173.55,0.13701
-49.695,-18.738,0.30025,110.34,101.92,97.856,81.355,0.42811,174.19,173.54,0.137
-49.665,-18.653,0.30027,110.39,101.89,97.785,81.272,0.42796,174.18,173.54,0.13698
-49.635,-18.554,0.3003,110.45,101.86,97.714,81.189,0.42782,174.17,173.54,0.13698
-49.606,-18.443,0.30034,110.51,101.84,97.644,81.107,0.42768,174.17,173.54,0.13697
-49.579,-18.323,0.3004,110.58,101.81,97.576,81.026,0.42754,174.16,173.53,0.13697
-49.556,-18.198,0.3005,110.64,101.78,97.509,80.948,0.42741,174.16,173.53,0.13698
-49.536,-18.073,0.30063,110.69,101.76,97.446,80.874,0.42729,174.16,173.53,0.13699
-49.522,-17.957,0.30082,110.75,101.75,97.386,80.803,0.42719,174.15,173.53,0.137
-49.517,-17.858,0.30108,110.8,101.74,97.329,80.738,0.4271,174.15,173.53,0.13702
-49.52,-17.784,0.30144,110.83,101.74,97.278,80.679,0.42704,174.15,173.54,0.13705
-49.537,-17.748,0.30191,110.86,101.75,97.231,80.627,0.42701,174.15,173.54,0.13708
-49.567,-17.761,0.30251,110.88,101.79,97.191,80.585,0.42703,174.16,173.55,0.13712
-49.615,-17.836,0.30326,110.88,101.84,97.158,80.553,0.4271,174.16,173.55,0.13715
-49.682,-17.988,0.30415,110.86,101.91,97.133,80.533,0.42724,174.16,173.56,0.13719
-49.77,-18.23,0.3052,110.82,102.01,97.117,80.527,0.42745,174.17,173.57,0.13723
-49.881,-18.575,0.3064,110.76,102.14,97.112,80.538,0.42775,174.17,173.58,0.13726
-50.015,-19.035,0.30774,110.68,102.3,97.119,80.567,0.42814,174.17,173.59,0.13729
-50.173,-19.623,0.3092,110.57,102.49,97.139,80.615,0.42863,174.18,173.6,0.13731
-50.352,-20.347,0.31074,110.43,102.71,97.174,80.685,0.42922,174.18,173.61,0.13732
-50.551,-21.214,0.31234,110.26,102.96,97.225,80.779,0.42991,174.18,173.63,0.13731
-50.766,-22.226,0.31393,110.07,103.25,97.294,80.896,0.43068,174.18,173.64,0.13729
-50.992,-23.383,0.31549,109.84,103.55,97.381,81.039,0.43152,174.18,173.65,0.13725
